Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-07 00:00:00-05:00,34.54999923706055,36.959999084472656,34.33000183105469,36.279998779296875,72679900,0.0,0.0
2025-02-10 00:00:00-05:00,38.0,42.880001068115234,37.36000061035156,42.650001525878906,134627800,0.0,0.0
2025-02-11 00:00:00-05:00,40.59000015258789,42.38999938964844,38.41999816894531,38.61000061035156,153179100,0.0,0.0
2025-02-12 00:00:00-05:00,42.29999923706055,43.88999938964844,38.86000061035156,39.68000030517578,161454200,0.0,0.0
2025-02-13 00:00:00-05:00,39.0099983215332,43.290000915527344,37.5,42.279998779296875,110368100,0.0,0.0
2025-02-14 00:00:00-05:00,42.939998626708984,48.18000030517578,42.849998474121094,47.90999984741211,133562000,0.0,0.0
2025-02-18 00:00:00-05:00,51.0,56.22999954223633,50.9900016784668,55.79999923706055,163200100,0.0,0.0
2025-02-19 00:00:00-05:00,59.040000915527344,66.44000244140625,55.61000061035156,60.25,337992700,0.0,0.0
2025-02-20 00:00:00-05:00,57.209999084472656,62.470001220703125,54.29999923706055,59.27000045776367,181555200,0.0,0.0
2025-02-21 00:00:00-05:00,61.0,62.43000030517578,55.06999969482422,56.06999969482422,104690400,0.0,0.0
2025-02-24 00:00:00-05:00,53.880001068115234,56.25,50.2599983215332,51.61000061035156,84122600,0.0,0.0
2025-02-25 00:00:00-05:00,50.119998931884766,50.66999816894531,44.0,45.540000915527344,146548400,0.0,0.0
2025-02-26 00:00:00-05:00,55.02000045776367,56.189998626708984,50.04999923706055,51.11000061035156,144521900,0.0,0.0
2025-02-27 00:00:00-05:00,49.06999969482422,50.0,42.54999923706055,42.95000076293945,121404800,0.0,0.0
2025-02-28 00:00:00-05:00,40.22999954223633,43.4900016784668,38.880001068115234,41.459999084472656,96058000,0.0,0.0
2025-03-03 00:00:00-05:00,42.279998779296875,42.380001068115234,35.61000061035156,36.06999969482422,104518500,0.0,0.0
2025-03-04 00:00:00-05:00,35.0,40.61000061035156,34.5099983215332,39.13999938964844,109691900,0.0,0.0
2025-03-05 00:00:00-05:00,39.349998474121094,40.900001525878906,38.22999954223633,38.900001525878906,69735700,0.0,0.0
2025-03-06 00:00:00-05:00,37.5,39.65999984741211,35.65999984741211,37.04999923706055,71552600,0.0,0.0
2025-03-07 00:00:00-05:00,36.369998931884766,38.4900016784668,35.36000061035156,38.2400016784668,59174000,0.0,0.0
2025-03-10 00:00:00-04:00,37.79999923706055,39.45000076293945,35.9900016784668,36.900001525878906,73154000,0.0,0.0
